,height,width
0,198.02014,87.824524
1,197.57387,344.69098
2,353.16132,235.58124
3,110.780045,148.88736
4,44.876007,33.94767
5,361.2718,371.65466
6,212.9126,209.1222
7,111.59584,55.58249
8,312.71027,121.00673
